date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:23	20127/20127	---M--	200	added ('OK')	text/html	etag:%224e9f-57a511b98649e%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.html	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:24	20127/20127	---M--	200	added ('OK')	text/html	etag:%224e9f-57a511b98649e%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.html	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:25	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-57a511ba731b6%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular-2.html	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:25	23424/23424	---M--	200	added ('OK')	text/html	etag:%225b80-57a511ba1b373%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular-3.html	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:26	45404/45404	---M--	200	added ('OK')	text/html	etag:%22b15c-57a511b9fdeb2%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular-4.html	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:28	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-57a511b9a124f%22	http://copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css)
14:07:30	26667/26667	---M--	200	added ('OK')	text/html	etag:%22682b-57a511c0a608a%22	http://copyprint.ee/assets/socicon/fonts/socicon.eot	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicon.html	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:32	26667/26667	---M--	200	added ('OK')	text/html	etag:%22682b-57a511c0a608a%22	http://copyprint.ee/assets/socicon/fonts/socicon.eot?	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicond41d.html	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:34	28584/28584	---M--	200	added ('OK')	text/html	etag:%226fa8-57a511c129def%22	http://copyprint.ee/assets/socicon/fonts/socicon.woff	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicon-2.html	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:35	24876/24876	---M--	200	added ('OK')	text/html	etag:%22612c-57a511c189162%22	http://copyprint.ee/assets/socicon/fonts/socicon.woff2	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicon-3.html	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:36	41824/41824	---M--	200	added ('OK')	text/html	etag:%22a360-57a511c118c7e%22	http://copyprint.ee/assets/socicon/fonts/socicon.ttf	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicon-4.html	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:37	65661/65661	---M--	200	added ('OK')	image/svg+xml	etag:%221007d-57a511c0afccb%22	http://copyprint.ee/assets/socicon/fonts/socicon.svg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/fonts/socicon.svg	(from http://copyprint.ee/assets/socicon/css/socicon.min.css)
14:07:52	447799/447799	---M--	200	added ('OK')	image/jpeg	etag:%226d537-57a511b01064f%22	http://copyprint.ee/assets/images/jkk.jpg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/images/jkk.jpg	(from http://copyprint.ee/)
14:07:52	92/92	---M--	404	error ('Not%20Found')	text/html	etag:%225c-5e43e9f47d080%22	http://copyprint.ee/Popover%20requires%20tooltip.js	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/Popover%20requires%20tooltip.2d.delayed	(from http://copyprint.ee/assets/bootstrap/js/bootstrap.min.js)
14:07:54	92/92	---M--	404	error ('Not%20Found')	text/html	etag:%225c-5e43e9f47d080%22	http://copyprint.ee/sddefault.jpg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/sddefault.jpg	(from http://copyprint.ee/assets/mobirise/js/script.js)
14:07:54	92/92	---M--	404	error ('Not%20Found')	text/html	etag:%225c-5e43e9f47d080%22	http://copyprint.ee/hqdefault.jpg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/hqdefault.jpg	(from http://copyprint.ee/assets/mobirise/js/script.js)
14:08:00	232826/232826	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2238d7a-57a511b1b6c2c%22	http://copyprint.ee/assets/images/room3.jpg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/images/room3.jpg	(from http://copyprint.ee/)
14:08:01	241901/241901	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%223b0ed-57a511b068491%22	http://copyprint.ee/assets/images/ricoh4000.jpg	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/images/ricoh4000.jpg	(from http://copyprint.ee/)
